condition,label,n,high_n,low_n,matched_n,capability_score,alignment_score,gap_score,pass_rate,pass_ci_low,pass_ci_high,fail_rate,pass_delta_vs_baseline,pass_delta_ci_low,pass_delta_ci_high,capability_delta_vs_baseline,capability_delta_ci_low,capability_delta_ci_high,alignment_delta_vs_baseline,mcnemar_b_base_pass_other_nonpass,mcnemar_c_base_nonpass_other_pass,mcnemar_p
baseline,Baseline,120,60,60,120,0.662,0.7509166666666667,-0.08891666666666667,0.4583333333333333,0.371859770816446,0.5473919184382149,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
strong,Strong prompt,120,60,60,120,0.673,0.7840833333333334,-0.11108333333333334,0.4583333333333333,0.371859770816446,0.5473919184382149,0.075,0.0,-0.09999999999999998,0.10000000000000003,0.010999999999999994,-0.026750000000000055,0.049668750000000046,0.033166666666666664,20,20,1.0
aana_loop,AANA loop,120,60,60,120,0.8164166666666667,0.8798333333333334,-0.06341666666666666,0.7333333333333333,0.6478739437150142,0.8043165964588853,0.016666666666666666,0.275,0.16666666666666663,0.3833333333333333,0.15441666666666665,0.11691666666666667,0.19233333333333325,0.12891666666666668,10,43,5.550520889130439e-06
aana_tools_structured,AANA tools structured,120,60,60,120,0.9215833333333333,0.9733333333333333,-0.05175,0.9833333333333333,0.9412628731870861,0.9954175314588486,0.0,0.525,0.43333333333333335,0.6166666666666667,0.25958333333333333,0.22591666666666665,0.2955,0.22241666666666665,0,63,2.168404344971009e-19
aana_tools_hybrid_gate,AANA hybrid gate,120,60,60,120,0.9079999999999999,0.9735833333333334,-0.06558333333333334,0.9833333333333333,0.9412628731870861,0.9954175314588486,0.0,0.525,0.43333333333333335,0.6083333333333334,0.246,0.21266666666666667,0.2803354166666667,0.22266666666666665,0,63,2.168404344971009e-19
hybrid_gate_direct,Hybrid gate direct,120,60,60,120,0.9184166666666667,0.9765833333333334,-0.05816666666666667,1.0,0.9689797289440706,1.0,0.0,0.5416666666666666,0.44999999999999996,0.6333333333333333,0.2564166666666667,0.22333333333333327,0.2908333333333334,0.22566666666666665,0,65,5.421010862427522e-20
